idsls,iddesa,kdprov,nmprov,kdkab,nmkab,kdkec,nmkec,kddesa,nmdesa,kdsls,nama_sls,petugas_kode,petugas_nama,pengawas_kode,pengawas_nama
32740100010001,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0001,RT 01 RW 01,nan,,nan,
32740100010002,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0002,RT 02 RW 01,nan,,nan,
32740100010003,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0003,RT 03 RW 01,nan,,nan,
32740100010004,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0004,RT 04 RW 01,nan,,nan,
32740100010005,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0005,RT 01 RW 02,nan,,nan,
32740100010006,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0006,RT 02 RW 02,nan,,nan,
32740100010007,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0007,RT 03 RW 02,nan,,nan,
32740100010008,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0008,RT 04 RW 02,nan,,nan,
32740100010009,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0009,RT 05 RW 02,nan,,nan,
32740100010010,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0010,RT 06 RW 02,nan,,nan,
32740100010011,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0011,RT 07 RW 02,nan,,nan,
32740100010012,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0012,RT 08 RW 02,nan,,nan,
32740100010013,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0013,RT 01 RW 03,nan,,nan,
32740100010014,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0014,RT 02 RW 03,nan,,nan,
32740100010015,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0015,RT 03 RW 03,nan,,nan,
32740100010016,3274010001,32,JAWA BARAT,74,CIREBON,010,HARJAMUKTI,001,ARGASUNYA,0016,RT 04 RW 03,nan,,nan,
